Filter_Name,Wavelength_micron,Obs_SED_Flux_Jy,Obs_SED_Flux_Unc_Jy,Actual_Filter_Name
GAIADR2_Gbp,0.505,16.8,0.3,Gaia_Gbp
GAIADR2_G,0.623,73.1,0.3,Gaia_G
GAIADR2_Grp,0.772,154,2,Gaia_Grp
2MASS_J,1.24,591,151,2MASS_J
2MASS_H,1.66,1190,370,2MASS_H
2MASS_Ks,2.16,1270,490,2MASS_Ks
COBE_DIRBE_1.25,1.25,614.5,35.8,COBE_DIRBE_1.25
COBE_DIRBE_2.2,2.22,1037.5,34.2,COBE_DIRBE_2.2
COBE_DIRBE_3.5,3.52,725.1,24.5,COBE_DIRBE_3.5
COBE_DIRBE_4.9,4.89,237.4,9.5,COBE_DIRBE_4.9
WISE_RSR_W3,11.6,111,27,WISE_W3
WISE_RSR_W4,22.1,35.8,0.3,WISE_W4
AKARI_S9W,8.61,263.5,14.6,AKARI_S9W
AKARI_L18W,18.4,61.479999,2.32,AKARI_L18W
AKARI_FIS_N60,65,25.8,5.3,AKARI_FIS_N60
AKARI_FIS_WIDES,90,20.1,4.2,AKARI_FIS_WIDES
AKARI_FIS_WIDEL,140,8.4,3.1,AKARI_FIS_WIDEL
IRAS_12,11.6,167.5,6.7,IRAS_12
IRAS_25,23.9,44.81,1.7924,IRAS_25
IRAS_60,61.8,27.11,2.711,IRAS_60
IRAS_100,102,21.14,2.3254,IRAS_100
HERSCHEL_PACS_BLUE,70,23.05932483,0.02590508156,HERSCHEL_PACS_BLUE
HERSCHEL_PACS_RED,160,5.960888792,0.02249157872,HERSCHEL_PACS_RED
HERSCHEL_SPIRE_PSW,250,1.81452392729092,0.257841674995163,HERSCHEL_SPIRE_PSW
HERSCHEL_SPIRE_PMW,350,0.71577697554508,0.172311137060285,HERSCHEL_SPIRE_PMW
HERSCHEL_SPIRE_PLW,500,0.242797176097763,0.103757869592309,HERSCHEL_SPIRE_PLW
JCMT_SCUBA2_450,450,0.4351961467,0.06990648993,JCMT_SCUBA2_450
JCMT_SCUBA2_850,850,0.199163095,0.03396786975,JCMT_SCUBA2_850
