x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.00202120836568851
3.2,0.002003810089996816
6.4,0.0016212400226976401
9.600000000000001,0.0009592135026280025
12.8,0.0004376035034457582
16.0,0.00017956789787104896
19.200000000000003,0.00010618771945485384
22.400000000000002,6.204699430598447e-05
25.6,3.3768542406926055e-05
28.8,1.9583434413688753e-05
32.0,1.4331646926994812e-05
35.2,1.2280039326121716e-05
38.400000000000006,9.901579104419143e-06
41.6,7.750489262449863e-06
44.800000000000004,5.968281407768415e-06
48.0,4.809831352747259e-06
51.2,3.97940477884978e-06
54.400000000000006,3.3037376631353103e-06
57.6,2.8108262588683308e-06
60.800000000000004,2.428281015551859e-06
64.0,2.132123166729186e-06
67.2,1.8489913970353175e-06
70.4,1.6791571162361755e-06
73.60000000000001,1.5515942667584816e-06
76.80000000000001,1.4197118181757388e-06
80.0,1.3228143278011388e-06
83.2,1.1985811659166616e-06
86.4,1.1155232577851004e-06
89.60000000000001,1.0460500280381438e-06
92.80000000000001,9.453195945493548e-07
96.0,8.889167865322395e-07
99.2,8.107028006272193e-07
102.4,7.655126071910281e-07
105.60000000000001,6.800063913466457e-07
108.80000000000001,6.063821434826455e-07
112.0,5.509948157866776e-07
115.2,4.985713327326683e-07
118.4,4.6560790510785834e-07
121.60000000000001,4.437599647847057e-07
124.80000000000001,4.0101397441669927e-07
128.0,3.9622725378761023e-07
131.20000000000002,3.753406532063183e-07
134.4,3.74645373735515e-07
137.6,3.304793144863257e-07
140.8,3.095716760968149e-07
144.0,2.7430232036924756e-07
147.20000000000002,2.582734162404943e-07
150.4,2.4335712878327094e-07
153.60000000000002,2.1098860157307776e-07
156.8,2.0449076195300784e-07
160.0,1.89571291456834e-07
163.20000000000002,1.8905375898112093e-07
166.4,1.8017624732038553e-07
169.60000000000002,1.7726811791896634e-07
