x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.0003969656036359504
2.0,0.00034345492903177564
4.0,0.0002481702973286645
6.0,0.00017716751281528185
8.0,0.00013393647862822947
10.0,0.00010341481960416267
12.0,8.225393708000193e-05
14.0,6.432909749974076e-05
16.0,4.8017559558371736e-05
18.0,3.5011736033508157e-05
20.0,2.4768724776251565e-05
22.0,1.7046296348761126e-05
24.0,1.1296160537510489e-05
26.0,6.976013520325893e-06
28.0,4.198872710266361e-06
30.0,2.5124021970630126e-06
32.0,1.451202036193999e-06
34.0,8.015485919205046e-07
36.0,4.137468471655554e-07
38.0,2.111044058153924e-07
40.0,1.0751676145549452e-07
42.0,5.1125046324494336e-08
44.0,2.446470222084794e-08
46.0,1.203129827686277e-08
48.0,6.123921250376253e-09
50.0,3.1304796960798612e-09
52.0,1.7594680613448236e-09
54.0,1.339778851272651e-09
56.0,1.1512426850962252e-09
58.0,1.0186708525274022e-09
60.0,9.090193445461251e-10
62.0,8.104085968201218e-10
64.0,7.206642484833143e-10
66.0,6.371989829829573e-10
68.0,5.565514417185331e-10
70.0,4.82006111768704e-10
72.0,4.118861653848689e-10
74.0,3.454122844942995e-10
76.0,2.808425574627491e-10
78.0,2.22703115880681e-10
80.0,1.746743515303656e-10
82.0,1.3366825887343754e-10
84.0,1.0032931068566493e-10
86.0,7.398264727389935e-11
88.0,5.368995350371457e-11
90.0,3.8581244214822325e-11
92.0,2.700834412172809e-11
94.0,1.8319207177470924e-11
96.0,1.2042213527999947e-11
98.0,7.711321309791082e-12
100.0,4.736220485693949e-12
102.0,2.8290758682398757e-12
104.0,1.6736184413761292e-12
106.0,9.582641096889284e-13
108.0,5.31558688769832e-13
110.0,2.806160393088205e-13
112.0,1.4333871952463348e-13
114.0,7.198201972876053e-14
116.0,3.5023023934965206e-14
118.0,1.6362578734555688e-14
120.0,7.57985992718369e-15
122.0,3.1074570279543105e-15
124.0,1.2759135738415388e-15
126.0,5.07551867692693e-16
128.0,1.938034114342778e-16
130.0,7.259539997901842e-17
132.0,2.4051122087780083e-17
134.0,8.05615289164986e-18
136.0,2.4696408724452977e-18
138.0,7.093469172165132e-19
140.0,2.1430700293270153e-19
142.0,4.3173329390962754e-20
144.0,1.0045029689238932e-20
146.0,1.3486361351364578e-21
148.0,1.1084454088493081e-22
150.0,2.6565236785321937e-24
152.0,5.013463015430849e-28
154.0,-6.656899892266073e-30
156.0,3.48855110065824e-33
158.0,-3.642318492597259e-35
160.0,1.265003549396649e-38
162.0,-1.7004424482083861e-40
164.0,-1.4404008226485895e-43
166.0,-2.922085025636911e-46
168.0,5.840604444647522e-53
