x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.00043894481641123026
2.0,0.0003855279906428037
4.0,0.00029047396470860203
6.0,0.00021975068056156034
8.0,0.00017681864667244617
10.0,0.0001466413782086016
12.0,0.00012576766654663087
14.0,0.00010808702343727496
16.0,9.196858866226269e-05
18.0,7.894534058040421e-05
20.0,6.814766200831062e-05
22.0,5.905250627092569e-05
24.0,5.100912925419492e-05
26.0,4.3800689287895805e-05
28.0,3.847232501750033e-05
30.0,3.484496345525222e-05
32.0,3.216182720227419e-05
34.0,2.9885163356540557e-05
36.0,2.7585759553143262e-05
38.0,2.529829921922366e-05
40.0,2.3086297619698115e-05
42.0,2.0755407748538232e-05
44.0,1.8476339512989317e-05
46.0,1.6091570107361245e-05
48.0,1.349906955925022e-05
50.0,1.0813860724284653e-05
52.0,8.365049382380738e-06
54.0,6.479552794803388e-06
56.0,5.020766297349506e-06
58.0,3.7940656906361523e-06
60.0,2.79936044623725e-06
62.0,1.9965110438310073e-06
64.0,1.391838835590643e-06
66.0,9.466527977128897e-07
68.0,6.202167871515788e-07
70.0,3.9756841664668255e-07
72.0,2.487116248849685e-07
74.0,1.5042169282566367e-07
76.0,8.655671460170265e-08
78.0,4.8273601593686406e-08
80.0,2.6849422228763015e-08
82.0,1.4293637397359088e-08
84.0,7.253930683191794e-09
86.0,3.546031407979187e-09
88.0,1.6828625598269378e-09
90.0,7.966238187358295e-10
92.0,3.653854554663942e-10
94.0,1.582875951972648e-10
96.0,6.542433749361646e-11
98.0,2.5222425630763883e-11
100.0,9.820263947179384e-12
102.0,4.3184851355336585e-12
104.0,2.087745127571163e-12
106.0,1.1030872664827165e-12
108.0,5.633690999644984e-13
110.0,2.891402380733797e-13
112.0,1.450192720840263e-13
114.0,7.233666884534793e-14
116.0,3.5110269381090174e-14
118.0,1.637456754910873e-14
120.0,7.584794598097484e-15
122.0,3.11098529609787e-15
124.0,1.2776314855997585e-15
126.0,5.083072367998788e-16
128.0,1.9410790571682503e-16
130.0,7.269799605260597e-17
132.0,2.4089396071502457e-17
134.0,8.067164871786435e-18
136.0,2.473280927256799e-18
138.0,7.102859604420812e-19
140.0,2.1443347676592843e-19
142.0,4.322683162044943e-20
144.0,1.004365940357373e-20
146.0,1.3499543520842216e-21
148.0,1.1014005465765302e-22
150.0,2.6126576042625454e-24
152.0,4.820107259968117e-28
154.0,-4.23131033184906e-30
156.0,1.9888598340989518e-33
158.0,-2.3861055325426815e-35
160.0,8.231579127392181e-39
162.0,-1.1402706914444243e-40
164.0,-9.48452500744199e-44
166.0,-1.9316188122849796e-46
168.0,6.883789970221219e-53
