x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.046152577867772965
1.6,0.043941324181181116
3.2,0.034478593303715874
4.800000000000001,0.021694973071154065
6.4,0.01231392508911751
8.0,0.007677306903465011
9.600000000000001,0.006212163076437535
11.200000000000001,0.005257245705212435
12.8,0.004852010902913898
14.4,0.004789829509750343
16.0,0.004936753941401771
17.6,0.005160577501617504
19.200000000000003,0.005373416506612833
20.8,0.0054574686574238125
22.400000000000002,0.005263049672861536
24.0,0.004840137422794322
25.6,0.004269050761664201
27.200000000000003,0.003638786874792855
28.8,0.003097236049692391
30.400000000000002,0.00279281108935298
32.0,0.0026589018349485443
33.6,0.0025668681340371684
35.2,0.0024577858316109876
36.800000000000004,0.002312361676843383
38.400000000000006,0.00212077049183491
40.0,0.0018801695087065065
41.6,0.0016189340174650178
43.2,0.0013851747185811463
44.800000000000004,0.0011739817000057165
46.400000000000006,0.0009690743688622193
48.0,0.0007890466065595088
49.6,0.0006298158997610522
51.2,0.0004909429632116915
52.800000000000004,0.00037064822271982555
54.400000000000006,0.0002726402163405586
56.0,0.00020394491855675893
57.6,0.0001597339250683027
59.2,0.0001319029546822265
60.800000000000004,0.00011300971837092647
62.400000000000006,9.971821000074707e-05
64.0,9.020501991455081e-05
65.60000000000001,8.222551394988466e-05
67.2,7.579297446784594e-05
68.8,6.995712733033346e-05
70.4,6.527641355828522e-05
72.0,6.13052583246851e-05
73.60000000000001,5.775113728079246e-05
75.2,5.455581115813803e-05
76.80000000000001,5.133020827539214e-05
78.4,4.845323851688843e-05
80.0,4.5548888726423134e-05
81.60000000000001,4.309921435377207e-05
83.2,4.082829385284102e-05
84.80000000000001,3.8752954959868816e-05
86.4,3.687090893041868e-05
88.0,3.500536561543141e-05
89.60000000000001,3.337273087995687e-05
91.2,3.181638521186892e-05
92.80000000000001,3.0401653784829757e-05
94.4,2.908274486126939e-05
96.0,2.780098944892446e-05
97.60000000000001,2.6625182832410046e-05
99.2,2.553345016419959e-05
100.80000000000001,2.4520208594072935e-05
102.4,2.3615835950005175e-05
104.0,2.270201676972501e-05
105.60000000000001,2.1900866074953816e-05
107.2,2.1117977729223967e-05
108.80000000000001,2.0323381550207484e-05
110.4,1.9614296039156458e-05
112.0,1.890205716090291e-05
113.60000000000001,1.8230606714654387e-05
115.2,1.754332027497242e-05
116.80000000000001,1.6882450610914917e-05
118.4,1.6256090639574085e-05
120.0,1.5819494204161924e-05
121.60000000000001,1.5159438114668406e-05
123.2,1.4629448225237488e-05
124.80000000000001,1.4183283897991746e-05
126.4,1.3709011308411373e-05
128.0,1.3279062094641755e-05
129.6,1.2817147571333472e-05
131.20000000000002,1.2284311666375951e-05
132.8,1.1894759794338378e-05
134.4,1.1391760436424858e-05
136.0,1.103564926891322e-05
137.6,1.0617854223635778e-05
139.20000000000002,1.0164926040721821e-05
140.8,9.842509913015878e-06
142.4,9.379255304504596e-06
144.0,9.07462877813362e-06
145.6,8.647562608384307e-06
147.20000000000002,8.266623476578696e-06
148.8,7.971926936094081e-06
150.4,7.514443491637239e-06
152.0,7.2293468024775925e-06
153.60000000000002,6.814226799328735e-06
155.20000000000002,6.5671447064157385e-06
156.8,6.222364994784362e-06
158.4,5.951147402660281e-06
160.0,5.6760145157460046e-06
161.60000000000002,5.432076358341716e-06
163.20000000000002,5.199255106537637e-06
164.8,5.020133584235108e-06
166.4,4.867611928823327e-06
168.0,4.831701535779059e-06
169.60000000000002,5.057732937501504e-06
