x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,4.726192904355064e-05
4.0,3.799094033283083e-05
8.0,2.426930523880176e-05
12.0,1.669970460569259e-05
16.0,1.3419981120106431e-05
20.0,1.1287385006392041e-05
24.0,9.511296786701464e-06
28.0,7.82004882124762e-06
32.0,6.24228273376806e-06
36.0,4.943240511816338e-06
40.0,3.8331591263445545e-06
44.0,2.9052201263809303e-06
48.0,2.1356242519258065e-06
52.0,1.4961164164782077e-06
56.0,1.0438859711495633e-06
60.0,7.399771164205688e-07
64.0,5.219980449139128e-07
68.0,3.612805896233411e-07
72.0,2.4069654491080954e-07
76.0,1.5893623766704033e-07
80.0,1.0420485419459467e-07
84.0,6.458564585458476e-08
88.0,3.952349000718664e-08
92.0,2.3868075820430038e-08
96.0,1.390955795481037e-08
100.0,7.656575509935123e-09
104.0,3.994121682955416e-09
108.0,2.086586094508847e-09
112.0,1.0827238901105745e-09
116.0,5.303600161705659e-10
120.0,2.63467662985108e-10
124.0,1.1120574981642494e-10
128.0,4.7878315949021664e-11
132.0,2.0615602010756595e-11
136.0,8.479748638093922e-12
140.0,3.3068833239170574e-12
144.0,1.294499287338739e-12
148.0,4.640837851771739e-13
152.0,1.4494386253471972e-13
156.0,5.361156954047285e-14
160.0,1.9199133118994402e-14
164.0,7.299548209578638e-15
168.0,2.475106410082258e-15
