x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.045785429365702526
1.6,0.043571942199529416
3.2,0.03410395110152897
4.800000000000001,0.021314264966463548
6.4,0.011926927787366861
8.0,0.007282202666259861
9.600000000000001,0.005807754121738675
11.200000000000001,0.00484060331432497
12.8,0.004418305994529459
14.4,0.004335254590400574
16.0,0.004456318352692759
17.6,0.004649398926277389
19.200000000000003,0.004830360856543181
20.8,0.004895560749331899
22.400000000000002,0.004711649254602754
24.0,0.004324331798695922
25.6,0.003803983194169932
27.200000000000003,0.0032288605206450436
28.8,0.002730759549260366
30.400000000000002,0.0024431253392146516
32.0,0.0023057678729027403
33.6,0.0021998739033277474
35.2,0.0020746154625465828
36.800000000000004,0.0019203157970778123
38.400000000000006,0.0017507989242089162
40.0,0.0015905803939663214
41.6,0.001471894354754298
43.2,0.0014024411733216053
44.800000000000004,0.0013462643545141173
46.400000000000006,0.0012612388595958687
48.0,0.0011318346622022776
49.6,0.0009498372360649818
51.2,0.0007456383510500065
52.800000000000004,0.000549826197203465
54.400000000000006,0.00038415550734331846
56.0,0.00026693177514349007
57.6,0.00019358749426069097
59.2,0.00015003012102157392
60.800000000000004,0.00012311190752174796
62.400000000000006,0.00010550196160823692
64.0,9.359510187132868e-05
65.60000000000001,8.41070319970314e-05
67.2,7.64884544460625e-05
68.8,6.984356285927373e-05
70.4,6.459427041592752e-05
72.0,6.029210947858625e-05
73.60000000000001,5.65370589360213e-05
75.2,5.32312004852755e-05
76.80000000000001,4.995102052962984e-05
78.4,4.706478755981956e-05
80.0,4.4176348444236936e-05
81.60000000000001,4.178277213181552e-05
83.2,3.957099354699923e-05
84.80000000000001,3.753228381309064e-05
86.4,3.571346327956923e-05
88.0,3.387252037013236e-05
89.60000000000001,3.2282880881855564e-05
91.2,3.074668161962101e-05
92.80000000000001,2.9345798843132764e-05
94.4,2.807323342542217e-05
96.0,2.6808002986613454e-05
97.60000000000001,2.5669638591155793e-05
99.2,2.460661375061278e-05
100.80000000000001,2.3629587837674374e-05
102.4,2.2753135800340978e-05
104.0,2.1858677923544612e-05
105.60000000000001,2.108580471826166e-05
107.2,2.032287972878033e-05
108.80000000000001,1.95513502311666e-05
110.4,1.885717765804201e-05
112.0,1.816032811899246e-05
113.60000000000001,1.7509455702512524e-05
115.2,1.684339571031274e-05
116.80000000000001,1.6204813027520697e-05
118.4,1.5599599911754663e-05
120.0,1.5175912862891333e-05
121.60000000000001,1.45287989129697e-05
123.2,1.400206568823514e-05
124.80000000000001,1.3565854117727569e-05
126.4,1.3103952899818357e-05
128.0,1.2688431396779306e-05
129.6,1.2243575002767528e-05
131.20000000000002,1.1729381122706015e-05
132.8,1.1354762699459036e-05
134.4,1.0871492287093182e-05
136.0,1.0530400403968032e-05
137.6,1.0132601627916926e-05
139.20000000000002,9.699844964579267e-06
140.8,9.396470797075424e-06
142.4,8.955874110657637e-06
144.0,8.671475200523246e-06
145.6,8.267822209031356e-06
147.20000000000002,7.909288761609852e-06
148.8,7.634279590450747e-06
150.4,7.196954432914043e-06
152.0,6.932692681073274e-06
153.60000000000002,6.531487465298849e-06
155.20000000000002,6.3029505351813644e-06
156.8,5.968116707023799e-06
158.4,5.7091967826631945e-06
160.0,5.442901318716136e-06
161.60000000000002,5.206246079609831e-06
163.20000000000002,4.979831303624639e-06
164.8,4.806092271605381e-06
166.4,4.6597557100294305e-06
168.0,4.628813354599001e-06
169.60000000000002,4.843980814955009e-06
