x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.0026990285394268704
3.2,0.0026871732202726406
6.4,0.002322239531027152
9.600000000000001,0.0016891370298918033
12.8,0.0012018442210156586
16.0,0.0009652968821135027
19.200000000000003,0.0008769508711895971
22.400000000000002,0.000789863683473509
25.6,0.0006989752066248353
28.8,0.0006100609279125518
32.0,0.0005248696390849383
35.2,0.00045672564603593195
38.400000000000006,0.0004040190575452291
41.6,0.0003479972698243993
44.800000000000004,0.00028625391057947736
48.0,0.0002268084981899923
51.2,0.00017116941813834728
54.400000000000006,0.00011900320245679093
57.6,7.425343151377284e-05
60.800000000000004,4.54449354760479e-05
64.0,3.014389582804495e-05
67.2,2.1539294673986643e-05
70.4,1.6682780181865876e-05
73.60000000000001,1.354868257809804e-05
76.80000000000001,1.1343983156724812e-05
80.0,9.817948048148039e-06
83.2,8.520091989877021e-06
86.4,7.5767896296538675e-06
89.60000000000001,6.803825680085544e-06
92.80000000000001,6.0524821429777165e-06
96.0,5.508310176456177e-06
99.2,4.977431627930912e-06
102.4,4.594526033151692e-06
105.60000000000001,4.167002124968111e-06
108.80000000000001,3.8082850168166163e-06
112.0,3.526532811731021e-06
115.2,3.23433732432784e-06
118.4,3.044040808836545e-06
121.60000000000001,2.821388098959449e-06
124.80000000000001,2.5299321180373774e-06
128.0,2.3583181062240734e-06
131.20000000000002,2.19487265932579e-06
134.4,2.0912315449419464e-06
137.6,1.9389117234906413e-06
140.8,1.8364830052057136e-06
144.0,1.7255033494445555e-06
147.20000000000002,1.639197380277417e-06
150.4,1.576260573150716e-06
153.60000000000002,1.4700583700471347e-06
156.8,1.42468244044182e-06
160.0,1.3590539742632252e-06
163.20000000000002,1.3360237912009654e-06
166.4,1.3284652174214616e-06
169.60000000000002,1.4126948442023297e-06
