x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,4.6806034759829006e-05
4.0,3.7537477602183845e-05
8.0,2.3822776223883716e-05
12.0,1.626305594301998e-05
16.0,1.2998158392978748e-05
20.0,1.089801435735607e-05
24.0,9.167243439362578e-06
28.0,7.526551261122178e-06
32.0,6.002470760182781e-06
36.0,4.773417806268833e-06
40.0,3.765731301140803e-06
44.0,2.941926307355287e-06
48.0,2.2298690576281066e-06
52.0,1.5882884350662596e-06
56.0,1.11126632998334e-06
60.0,7.914149028280415e-07
64.0,5.663575848987481e-07
68.0,4.0079287182356195e-07
72.0,2.742724122722807e-07
76.0,1.8603958490104288e-07
80.0,1.251775896792579e-07
84.0,7.972365711458514e-08
88.0,5.0074172867705214e-08
92.0,3.099331820908476e-08
96.0,1.8504558258023055e-08
100.0,1.0439172099287957e-08
104.0,5.578143380778368e-09
108.0,2.9792175107999083e-09
112.0,1.5779140084285323e-09
116.0,7.888493616120672e-10
120.0,3.993643381878104e-10
124.0,1.7191841698373716e-10
128.0,7.535624400559137e-11
132.0,3.297860558866771e-11
136.0,1.3792225324043795e-11
140.0,5.460698549043054e-12
144.0,2.1668587347056086e-12
148.0,7.899699778977137e-13
152.0,2.5015589902004883e-13
156.0,9.400254235307905e-14
160.0,3.413827798110475e-14
164.0,1.3169183610866615e-14
168.0,4.561109583634492e-15
