x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.052834981003943356
1.6,0.05065878602487214
3.2,0.041276934513248
4.800000000000001,0.028593151413724593
6.4,0.01933961695214133
8.0,0.014916246024885615
9.600000000000001,0.013732948936733949
11.200000000000001,0.013167137076126106
12.8,0.013292182910302023
14.4,0.013867840345660529
16.0,0.014827120867400945
17.6,0.01594238021397409
19.200000000000003,0.01669076941514126
20.8,0.016341642871978816
22.400000000000002,0.014601513086848173
24.0,0.011992729371358696
25.6,0.008913000377906884
27.200000000000003,0.0058381813709525495
28.8,0.0033921167871626416
30.400000000000002,0.0020286236053459663
32.0,0.0013467783830346369
33.6,0.0009419363353279717
35.2,0.0007097045885833464
36.800000000000004,0.0005721979883547789
38.400000000000006,0.00048033140452861717
40.0,0.000409564037502379
41.6,0.00034728044519969823
43.2,0.0003016968866975452
44.800000000000004,0.0002677033310030025
46.400000000000006,0.00023925584819173274
48.0,0.0002189558295543244
49.6,0.00020023815519271953
51.2,0.000185477332391997
52.800000000000004,0.00017196544100767447
54.400000000000006,0.00016018510635535695
56.0,0.00015032831356841936
57.6,0.00014089213824608512
59.2,0.00013260985068724239
60.800000000000004,0.00012399172868400945
62.400000000000006,0.0001161955318848419
64.0,0.00010923456490344316
65.60000000000001,0.00010256520299863596
67.2,9.605387415375205e-05
68.8,9.048980757002946e-05
70.4,8.522106278969768e-05
72.0,8.081049347377552e-05
73.60000000000001,7.65750930805433e-05
75.2,7.241431963724251e-05
76.80000000000001,6.866036829086187e-05
78.4,6.48238324110585e-05
80.0,6.131400958233298e-05
81.60000000000001,5.799786444075167e-05
83.2,5.5140925641548664e-05
84.80000000000001,5.256998808845226e-05
86.4,5.011069320695765e-05
88.0,4.767698995036687e-05
89.60000000000001,4.5686624531798146e-05
91.2,4.371888780418997e-05
92.80000000000001,4.19833668732561e-05
94.4,4.028653187968921e-05
96.0,3.864552712556615e-05
97.60000000000001,3.711558325025419e-05
99.2,3.567370187962717e-05
100.80000000000001,3.4345856551540786e-05
102.4,3.316192606416545e-05
104.0,3.195729706440526e-05
105.60000000000001,3.0947560685230686e-05
107.2,2.9965845967856705e-05
108.80000000000001,2.8936789213937423e-05
110.4,2.8071428019965695e-05
112.0,2.7158465301264353e-05
113.60000000000001,2.6335764799758837e-05
115.2,2.5491021554602867e-05
116.80000000000001,2.4605260968908344e-05
118.4,2.3808716415831186e-05
120.0,2.3182096111354497e-05
121.60000000000001,2.2395645108396994e-05
123.2,2.169740471973611e-05
124.80000000000001,2.1064951701390218e-05
126.4,2.0451471399079762e-05
128.0,1.9860538203179095e-05
129.6,1.9248561744565787e-05
131.20000000000002,1.83831771695593e-05
132.8,1.7823222997312865e-05
134.4,1.69816269402456e-05
136.0,1.6336150601489644e-05
137.6,1.557021221350192e-05
139.20000000000002,1.4741838393008062e-05
140.8,1.4098034715529967e-05
142.4,1.3355641471601645e-05
144.0,1.2748574493390653e-05
145.6,1.2097259519970202e-05
147.20000000000002,1.1466803110298896e-05
148.8,1.100440005207224e-05
150.4,1.0389943989111507e-05
152.0,9.933453155957868e-06
153.60000000000002,9.401920962133131e-06
155.20000000000002,9.008708699490725e-06
156.8,8.567744979524506e-06
158.4,8.188147329332723e-06
160.0,7.810272374582142e-06
161.60000000000002,7.4709821050911745e-06
163.20000000000002,7.140602526430341e-06
164.8,6.876434252036152e-06
166.4,6.642057419537797e-06
168.0,6.563309377373495e-06
169.60000000000002,6.966452752096938e-06
