x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.0005085869804024562
2.0,0.00045527987640192884
4.0,0.00036045663468117084
6.0,0.0002899232309023593
8.0,0.00024702953183632147
10.0,0.00021652402630201645
12.0,0.0001949067330482577
14.0,0.0001760145272105207
16.0,0.0001580721935064567
18.0,0.00014233751786952125
20.0,0.00012680681768386027
22.0,0.0001101181268645095
24.0,9.125279935826233e-05
26.0,7.106537841525662e-05
28.0,5.427108696060953e-05
30.0,4.182345432295811e-05
32.0,3.216727597860634e-05
34.0,2.4342466905398318e-05
36.0,1.7788861629229506e-05
38.0,1.2801560594464238e-05
40.0,9.08560168471756e-06
42.0,6.107014395266943e-06
44.0,4.036084550251573e-06
46.0,2.622610912156651e-06
48.0,1.6454096842800667e-06
50.0,9.782607667125637e-07
52.0,5.51950329818415e-07
54.0,3.112246719227569e-07
56.0,1.741487558731241e-07
58.0,9.250632886760177e-08
60.0,4.72753096700096e-08
62.0,2.3189711447320864e-08
64.0,1.1236965039382766e-08
66.0,5.448742010179967e-09
68.0,2.6356769168021116e-09
70.0,1.3322770874423403e-09
72.0,7.357457492784016e-10
74.0,4.4601742650231543e-10
76.0,3.108441642906075e-10
78.0,2.305183212510492e-10
80.0,1.7687674360608674e-10
82.0,1.3436001275986555e-10
84.0,1.0041837070626648e-10
86.0,7.398055873522983e-11
88.0,5.366363843119228e-11
90.0,3.856016810884338e-11
92.0,2.6994334479912817e-11
94.0,1.8310342589057428e-11
96.0,1.2037079384064871e-11
98.0,7.708356028498362e-12
100.0,4.734653832648215e-12
102.0,2.828322880540077e-12
104.0,1.673233620561345e-12
106.0,9.580973252650726e-13
108.0,5.314907727899646e-13
110.0,2.806079097468241e-13
112.0,1.4333506777222887e-13
114.0,7.198513404675639e-14
116.0,3.5025212813103914e-14
118.0,1.6365611321466248e-14
120.0,7.582702683175104e-15
122.0,3.109763143664009e-15
124.0,1.2770355998395825e-15
126.0,5.080637274947078e-16
128.0,1.9401579443406242e-16
130.0,7.26651960946788e-17
132.0,2.4079238619776077e-17
134.0,8.063923060836097e-18
136.0,2.4724630449721622e-18
138.0,7.1003062486484965e-19
140.0,2.1434840010597824e-19
142.0,4.321771853874979e-20
144.0,1.004324377079913e-20
146.0,1.3488359767403403e-21
148.0,1.1036350441239108e-22
150.0,2.604904918448428e-24
152.0,4.7242990469828935e-28
154.0,-4.214293951108818e-30
156.0,2.1897714330002863e-33
158.0,-2.463615302710151e-35
160.0,8.79527895863012e-39
162.0,-1.2037332528220595e-40
164.0,-1.0200471452276368e-43
166.0,-2.0650950814833e-46
168.0,4.392734421409337e-53
