x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.0004977333505642893
2.0,0.0004444851106534775
4.0,0.0003498231939958053
6.0,0.00027952202625301824
8.0,0.0002369400821486842
10.0,0.00020691512491596929
12.0,0.0001858167173083349
14.0,0.00016745505314279813
16.0,0.00015014678615697235
18.0,0.00013541854917179097
20.0,0.00012175293058281954
22.0,0.00010770195289998307
24.0,9.150805417473348e-05
26.0,7.297257019439913e-05
28.0,5.6436994307024695e-05
30.0,4.3670929395893484e-05
32.0,3.3720353489934334e-05
34.0,2.5737882166208647e-05
36.0,1.906214585292493e-05
38.0,1.3925613052201798e-05
40.0,1.0033973262282865e-05
42.0,6.855460881614759e-06
44.0,4.6037526961600556e-06
46.0,3.038370082720368e-06
48.0,1.936348216736237e-06
50.0,1.1700827248334741e-06
52.0,6.712080672554098e-07
54.0,3.8426491940623936e-07
56.0,2.1797122280424267e-07
58.0,1.1719971829665462e-07
60.0,6.042671087620452e-08
62.0,2.968889645671481e-08
64.0,1.4212149049921718e-08
66.0,6.6307142729039105e-09
68.0,2.9333101392555427e-09
70.0,1.2427596463331758e-09
72.0,5.001284809613227e-10
74.0,1.71118505534546e-10
76.0,5.210463575526722e-11
78.0,1.3832015226092184e-11
80.0,4.053778731507001e-12
82.0,1.3808664320225975e-12
84.0,3.0072145828227946e-13
86.0,9.043193876751402e-14
88.0,1.6383992710915408e-14
90.0,3.831712451835807e-15
92.0,6.840167857586518e-16
94.0,4.2491711514662706e-17
96.0,3.547603515392346e-18
98.0,-2.5747876397677535e-22
100.0,3.974643723282284e-24
102.0,7.526190917550844e-27
104.0,-5.457889845657779e-30
106.0,-1.9200014532919442e-31
108.0,-2.3211924795459496e-34
110.0,-1.6255091318130656e-36
112.0,-6.800655237195764e-40
114.0,1.6095353437208495e-41
116.0,8.355574793198264e-44
118.0,1.528490094306436e-47
120.0,-4.394717921359986e-49
122.0,5.594866842113386e-51
124.0,2.2470397703038105e-54
126.0,1.019248678013871e-55
128.0,-3.7715728791003446e-57
130.0,-3.3550096247308037e-59
132.0,2.09773108396991e-61
134.0,-1.6116095144889105e-63
136.0,7.977084058623435e-67
138.0,1.742512845963837e-69
140.0,-1.3927624568274548e-73
142.0,1.7506099425346705e-77
144.0,6.798031595347105e-81
146.0,-4.0413232905464237e-84
148.0,9.785636132573717e-87
150.0,-6.208108692890296e-90
152.0,2.640170854980777e-92
154.0,-1.1437252003164006e-95
156.0,2.2495799464307462e-99
158.0,-1.9721780997172332e-101
160.0,4.202512723866999e-105
162.0,-5.600571205158102e-107
164.0,-4.8667948783945044e-110
166.0,-9.757490550966868e-113
168.0,-9.467310126765729e-129
