x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,4.6318524210294075e-05
4.0,3.705681356493645e-05
8.0,2.335058205976529e-05
12.0,1.5792582721469745e-05
16.0,1.2546915123141278e-05
20.0,1.0586363811021632e-05
24.0,9.13021777700275e-06
28.0,7.812617891839877e-06
32.0,6.489428351965773e-06
36.0,5.228154331061389e-06
40.0,4.014708105391664e-06
44.0,2.96289614548684e-06
48.0,2.1262090681149457e-06
52.0,1.484868342247842e-06
56.0,1.0524518886619402e-06
60.0,7.565742515939817e-07
64.0,5.350571705783446e-07
68.0,3.67096270916525e-07
72.0,2.4044266380813743e-07
76.0,1.5531837401372685e-07
80.0,9.927615697819014e-08
84.0,5.964200074359929e-08
88.0,3.527325413962791e-08
92.0,2.0541304287142733e-08
96.0,1.1505403355772481e-08
100.0,6.058831052513584e-09
104.0,3.0116728854332e-09
108.0,1.498910516423674e-09
112.0,7.408299028373063e-10
116.0,3.4443026324973247e-10
120.0,1.6239835612513545e-10
124.0,6.432036827456005e-11
128.0,2.602498653375868e-11
132.0,1.0549837118586658e-11
136.0,4.059391596367963e-12
140.0,1.4803184974809822e-12
144.0,5.431153906894063e-13
148.0,1.7844035460978314e-13
152.0,5.144288772214181e-14
156.0,1.7188233796558174e-14
160.0,5.558345937733305e-15
164.0,1.8738344284308574e-15
168.0,5.124072455254747e-16
