x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,4.458436185810222e-05
4.0,3.53368957856306e-05
8.0,2.1668207376980232e-05
12.0,1.4160339013376782e-05
16.0,1.097371758538439e-05
20.0,9.084075910947463e-06
24.0,7.686908754639513e-06
28.0,6.451432805670802e-06
32.0,5.339042811571879e-06
36.0,4.475373266377217e-06
40.0,3.7853451870764758e-06
44.0,3.1751178083391458e-06
48.0,2.5365754350272973e-06
52.0,1.8614648311972103e-06
56.0,1.3268070531537727e-06
60.0,9.701860158335698e-07
64.0,7.220845865819023e-07
68.0,5.346502461869774e-07
72.0,3.830304749337937e-07
76.0,2.7040743949814137e-07
80.0,1.8824104102433053e-07
84.0,1.2374603663469124e-07
88.0,7.985329100378039e-08
92.0,5.057248294744703e-08
96.0,3.081978515868572e-08
100.0,1.771813476436655e-08
104.0,9.626853630386647e-09
108.0,5.2142765761251506e-09
112.0,2.7952792092872204e-09
116.0,1.4133848987482222e-09
120.0,7.225970175916528e-10
124.0,3.1382492138199676e-10
128.0,1.3860153236136352e-10
132.0,6.10531363887421e-11
136.0,2.5695258664092066e-11
140.0,1.0226359185547827e-11
144.0,4.0759515422438476e-12
148.0,1.4940166684262347e-12
152.0,4.749344704846682e-13
156.0,1.7928339995324974e-13
160.0,6.534227187543035e-14
164.0,2.5297132576055294e-14
168.0,8.807505058793994e-15
