x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.0024133052865121887
3.2,0.0023975289446124867
6.4,0.002019654893671302
9.600000000000001,0.001364777163056752
12.8,0.0008533972979968401
16.0,0.0006127385795226482
19.200000000000003,0.0005604286120248697
22.400000000000002,0.0005432451744698778
25.6,0.000553033483674498
28.8,0.000586466676907926
32.0,0.000622415232990633
35.2,0.0006260388616172086
38.400000000000006,0.0005760864459219616
41.6,0.0004788880414506185
44.800000000000004,0.0003624448653356439
48.0,0.00024543437391064555
51.2,0.0001450994324147171
54.400000000000006,8.100836384048229e-05
57.6,4.8390937701339864e-05
60.800000000000004,3.314210728673247e-05
64.0,2.4153942312552763e-05
67.2,1.8102392579291914e-05
70.4,1.4725105386004672e-05
73.60000000000001,1.2608531943094282e-05
76.80000000000001,1.0852726435443593e-05
80.0,9.391499543273433e-06
83.2,8.068086284043493e-06
86.4,7.1339885469367265e-06
89.60000000000001,6.408371264648464e-06
92.80000000000001,5.706383050231171e-06
96.0,5.201464074517826e-06
99.2,4.706839272960869e-06
102.4,4.351463284390047e-06
105.60000000000001,3.952324515496608e-06
108.80000000000001,3.6177266280467123e-06
112.0,3.357355639190557e-06
115.2,3.0894642948527996e-06
118.4,2.913676326518648e-06
121.60000000000001,2.695744228203542e-06
124.80000000000001,2.4206666747757814e-06
128.0,2.2443866060757035e-06
131.20000000000002,2.085919538945034e-06
134.4,1.971640854891596e-06
137.6,1.8372069705692113e-06
140.8,1.736558942535819e-06
144.0,1.6474170227728646e-06
147.20000000000002,1.571965002829693e-06
150.4,1.5135964614808297e-06
153.60000000000002,1.4306546388526027e-06
156.8,1.3863934860289368e-06
160.0,1.3310806138689956e-06
163.20000000000002,1.308380005807985e-06
166.4,1.300398183600954e-06
169.60000000000002,1.3890548958650906e-06
