x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,4.5624021655231924e-05
4.0,3.637097738012448e-05
8.0,2.2686347361475876e-05
12.0,1.5154968974086463e-05
16.0,1.1937113193358396e-05
20.0,1.0002374003769474e-05
24.0,8.56461584105701e-06
28.0,7.302327803746834e-06
32.0,6.1531489433891005e-06
36.0,5.149699199174695e-06
40.0,4.133784195972415e-06
44.0,3.1279725915120146e-06
48.0,2.243635282367933e-06
52.0,1.5590898541391494e-06
56.0,1.114760103860345e-06
60.0,8.164392937953199e-07
64.0,5.903443836966993e-07
68.0,4.14506182785218e-07
72.0,2.7811430222132016e-07
76.0,1.8376687156072357e-07
80.0,1.1994339282049694e-07
84.0,7.360066890325287e-08
88.0,4.4393884692602195e-08
92.0,2.6325620544261773e-08
96.0,1.5005680767953755e-08
100.0,8.041335647341899e-09
104.0,4.064172411686499e-09
108.0,2.0534826993575766e-09
112.0,1.02912103603272e-09
116.0,4.851591034225204e-10
120.0,2.317683673337872e-10
124.0,9.299590561915466e-11
128.0,3.806536320549211e-11
132.0,1.559458331650015e-11
136.0,6.068315481697039e-12
140.0,2.2326252875354957e-12
144.0,8.257996998004637e-13
148.0,2.7461818650051516e-13
152.0,7.974200262814046e-14
156.0,2.6981796606249653e-14
160.0,8.808103542961175e-15
164.0,3.0047699507194456e-15
168.0,8.379722411268019e-16
