x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.002616648621621082
3.2,0.002603369826999886
6.4,0.002232841513581427
9.600000000000001,0.001588620810714278
12.8,0.0010903636717128889
16.0,0.000869491967693354
19.200000000000003,0.0008426888581018429
22.400000000000002,0.0008589445736525361
25.6,0.0008864260719460463
28.8,0.0008765477900230621
32.0,0.000805944935236368
35.2,0.0006871540544297312
38.400000000000006,0.0005343620908151911
41.6,0.0003587038987124655
44.800000000000004,0.0002118012087332961
48.0,0.00012029478493397586
51.2,7.202651216872657e-05
54.400000000000006,4.774624176643203e-05
57.6,3.34159697174999e-05
60.800000000000004,2.4711807580337114e-05
64.0,1.9801645239032823e-05
67.2,1.63913604321352e-05
70.4,1.4036226822478425e-05
73.60000000000001,1.2154201659628614e-05
76.80000000000001,1.048515861221616e-05
80.0,9.197145392344372e-06
83.2,8.036225294192475e-06
86.4,7.227935534222631e-06
89.60000000000001,6.569741400657893e-06
92.80000000000001,5.9051506730485705e-06
96.0,5.422743461321809e-06
99.2,4.9380133715474386e-06
102.4,4.590928193908329e-06
105.60000000000001,4.184866260095842e-06
108.80000000000001,3.840037166130268e-06
112.0,3.570937423216732e-06
115.2,3.283389453836117e-06
118.4,3.089070024070114e-06
121.60000000000001,2.8609230492818545e-06
124.80000000000001,2.561430396952852e-06
128.0,2.374680627411281e-06
131.20000000000002,2.2118642297291087e-06
134.4,2.101514279717666e-06
137.6,1.961506710830377e-06
140.8,1.8627756971727903e-06
144.0,1.7600051740139894e-06
147.20000000000002,1.6804487945433456e-06
150.4,1.6208955808338676e-06
153.60000000000002,1.5137158934579252e-06
156.8,1.466332502207059e-06
160.0,1.3873130160533144e-06
163.20000000000002,1.3568394201314402e-06
166.4,1.3450587539171434e-06
169.60000000000002,1.431930271861324e-06
