x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.0004313669168533974
2.0,0.0003779978788845967
4.0,0.00028308787027611886
6.0,0.00021259603672955598
8.0,0.00017001092024901456
10.0,0.00014044752498935053
12.0,0.00012033452305589748
14.0,0.00010358375929347124
16.0,8.858910142492444e-05
18.0,7.685171963717869e-05
20.0,6.778847168792804e-05
22.0,6.107065767984417e-05
24.0,5.6116390209802685e-05
26.0,5.235643292428013e-05
28.0,4.977039044551586e-05
30.0,4.7738951605701616e-05
32.0,4.5392017370943234e-05
34.0,4.1868971118000007e-05
36.0,3.668897593051808e-05
38.0,3.073796451576729e-05
40.0,2.5009370726713143e-05
42.0,1.9619141307668813e-05
44.0,1.5377651388120545e-05
46.0,1.2027985425582554e-05
48.0,9.223135957371349e-06
50.0,6.810778790470254e-06
52.0,4.82677697972113e-06
54.0,3.3845404005219328e-06
56.0,2.3365865101237043e-06
58.0,1.540894622148041e-06
60.0,9.799474680074475e-07
62.0,5.968896867233544e-07
64.0,3.5459479990072207e-07
66.0,2.0531085720590232e-07
68.0,1.1392555592728307e-07
70.0,6.177590198848852e-08
72.0,3.273113778744996e-08
74.0,1.6691032345876008e-08
76.0,8.038439984722965e-09
78.0,3.73087898109519e-09
80.0,1.7264717955803625e-09
82.0,7.531784632451639e-10
84.0,2.9928707997272447e-10
86.0,1.0807534266631655e-10
88.0,3.330693193308869e-11
90.0,9.816946813448519e-12
92.0,3.1964766999312453e-12
94.0,8.406865705232973e-13
96.0,2.709018408897793e-13
98.0,5.6762267969298876e-14
100.0,1.5137773337021873e-14
102.0,2.7746984538132185e-15
104.0,5.4405731421248075e-16
106.0,1.1778720392209316e-16
108.0,4.5118102947391925e-18
110.0,1.6091169196523627e-19
112.0,-3.1014607422764217e-24
114.0,1.1087059694767638e-26
116.0,2.7371563244587537e-28
118.0,-3.0808129857235576e-31
120.0,2.0332456601397943e-33
122.0,-1.2184524965554924e-35
124.0,-5.92144902086546e-38
126.0,5.421799007152396e-40
128.0,-2.82974167876845e-42
130.0,8.548369001688195e-45
132.0,-8.265413081179902e-47
134.0,-8.79644840973172e-50
136.0,-7.381311781911885e-52
138.0,-1.185495799131282e-53
140.0,1.0319169463267354e-56
142.0,9.655410073917081e-60
144.0,2.433815601379863e-63
146.0,-1.4376325231370822e-66
148.0,3.5275182780935654e-69
150.0,-2.2393065925615301e-72
152.0,9.521789275894095e-75
154.0,-4.1248605844315657e-78
156.0,8.120003433847689e-82
158.0,-7.11222950596121e-84
160.0,1.516737211803563e-87
162.0,-2.019867092758243e-89
164.0,-1.7651214692509845e-92
166.0,-3.5221359400133896e-95
168.0,-3.2639120443536956e-111
