Wavelength and Model Type, Reduced ChiSqaured Result
outer_M2010_RedChiSq_70, 193.7520075605689
outer_K2010_RedChiSq_70, 254.7181807917465
Inner_RedChiSq_70, 7961.625859796282
FourShell_Even_RedChiSq_70, 764.665581738895
FourShell_Uneven_RedChiSq_70, 610.089561429374
ContEm_Only_RedChiSq_70, 942.2170484867268
outer_M2010_RedChiSq_160, 17.225946250833125
outer_K2010_RedChiSq_160, 15.785089797971722
Inner_RedChiSq_160, 127.89471783923112
FourShell_Even_RedChiSq_160, 23.55342405345145
FourShell_Uneven_RedChiSq_160, 21.147552895240953
Only_RedChiSq_160, 55.94314665070725
outer_M2010_RedChiSq_450, 1.0459025959845303
outer_K2010_RedChiSq_450, 1.0520388488987857
Inner_RedChiSq_450, 1.5607267227560078
FourShell_Even_RedChiSq_450, 1.0911321988878828
FourShell_Uneven_RedChiSq_450, 1.077602365800941
ContEm_Only_RedChiSq_450, 1.2703961871631995
outer_M2010_RedChiSq_850, 19.24936658089713
outer_K2010_RedChiSq_850, 18.40860635271089
Inner_RedChiSq_850, 15.647488910791433
FourShell_Even_RedChiSq_850, 17.839608384309344
FourShell_Uneven_RedChiSq_850, 18.064803971298634
ContEm_Only_RedChiSq_850, 22.682486974195186
