x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.042611269319268515
1.6,0.040386757566845066
3.2,0.030888146801329324
4.800000000000001,0.01805769433595353
6.4,0.008623240394359832
8.0,0.003912183646506801
9.600000000000001,0.0023594128014386667
11.200000000000001,0.0012887177544662796
12.8,0.000723291420627111
14.4,0.000469142773966105
16.0,0.00037833004421729494
17.6,0.00031804905165485416
19.200000000000003,0.00024170476704172875
20.8,0.0001733316582097433
22.400000000000002,0.0001254491688544111
24.0,0.0001023610888409652
25.6,8.915312085434338e-05
27.200000000000003,7.551261780537621e-05
28.8,6.462733699522176e-05
30.400000000000002,5.601755732067735e-05
32.0,4.9637832656363597e-05
33.6,4.458744550391304e-05
35.2,4.2103189596560104e-05
36.800000000000004,3.9831086102223704e-05
38.400000000000006,3.754384583669591e-05
40.0,3.494530210830236e-05
41.6,3.2128729381647095e-05
43.2,2.9896632271390104e-05
44.800000000000004,2.7596225208399206e-05
46.400000000000006,2.5163210698462898e-05
48.0,2.3534379796142116e-05
49.6,2.184359249461957e-05
51.2,2.051686739201575e-05
52.800000000000004,1.9477415693006123e-05
54.400000000000006,1.828774555840264e-05
56.0,1.714541349437087e-05
57.6,1.613539050867042e-05
59.2,1.5093033611819482e-05
60.800000000000004,1.431234404901208e-05
62.400000000000006,1.3298594474305174e-05
64.0,1.2477744936520051e-05
65.60000000000001,1.1587044466192304e-05
67.2,1.100483129490187e-05
68.8,1.0265946521514127e-05
70.4,9.841747748845357e-06
72.0,9.459866906303281e-06
73.60000000000001,9.091267689540571e-06
75.2,8.72680070218469e-06
76.80000000000001,8.160505986786702e-06
78.4,7.656457458173006e-06
80.0,7.015872490279754e-06
81.60000000000001,6.672005853079195e-06
83.2,6.2282734101607965e-06
84.80000000000001,5.886372185389338e-06
86.4,5.616912205680664e-06
88.0,5.306710612653758e-06
89.60000000000001,5.121219102940498e-06
91.2,4.8737613285797095e-06
92.80000000000001,4.676789190008196e-06
94.4,4.5465749785156e-06
96.0,4.35435767984805e-06
97.60000000000001,4.246365620114243e-06
99.2,4.135920301079355e-06
100.80000000000001,4.056699909209981e-06
102.4,4.0169964558315934e-06
104.0,3.902892473214312e-06
105.60000000000001,3.892086476784616e-06
107.2,3.8108891318988043e-06
108.80000000000001,3.7228677329418157e-06
110.4,3.658894846967376e-06
112.0,3.523230145463547e-06
113.60000000000001,3.4417653998795283e-06
115.2,3.307500612202898e-06
116.80000000000001,3.1854759373987256e-06
118.4,3.057745355928149e-06
120.0,2.9368088215995508e-06
121.60000000000001,2.8427834272090196e-06
123.2,2.7206210084382767e-06
124.80000000000001,2.7109768257546632e-06
126.4,2.5901254279383118e-06
128.0,2.539790124603076e-06
129.6,2.431493379279727e-06
131.20000000000002,2.2310326541716758e-06
132.8,2.1859800319991397e-06
134.4,2.010796597456597e-06
136.0,1.9823945901526543e-06
137.6,1.8935290498592522e-06
139.20000000000002,1.7620024236016518e-06
140.8,1.7624836689773264e-06
142.4,1.5814304448214107e-06
144.0,1.5790592297230998e-06
145.6,1.43638572787689e-06
147.20000000000002,1.3545805411561583e-06
148.8,1.294217225140015e-06
150.4,1.0966492495541629e-06
152.0,1.0872086215542134e-06
153.60000000000002,8.875950386560232e-07
155.20000000000002,8.818710235416546e-07
156.8,7.496956140693454e-07
158.4,6.84597403337309e-07
160.0,6.175122240312514e-07
161.60000000000002,5.657587146478487e-07
163.20000000000002,5.25124914072767e-07
164.8,5.080661644744255e-07
166.4,5.041350919775035e-07
168.0,4.933971726229032e-07
169.60000000000002,4.896318292574843e-07
