x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,4.231207420939031e-05
4.0,3.3055447864970304e-05
8.0,1.9365218164804532e-05
12.0,1.1832534173705672e-05
16.0,8.620886386486952e-06
20.0,6.70582255328294e-06
24.0,5.2927137956099886e-06
28.0,4.050626235583893e-06
32.0,2.935866378259833e-06
36.0,2.0721896292488513e-06
40.0,1.4147342337571905e-06
44.0,9.366050719108532e-07
48.0,5.950175163304991e-07
52.0,3.497495145903991e-07
56.0,1.9973247399082034e-07
60.0,1.1332363553929468e-07
64.0,6.181606747484371e-08
68.0,3.2105777972019205e-08
72.0,1.5454249024107895e-08
76.0,7.3282489001785315e-09
80.0,3.455407196547442e-09
84.0,1.498126151731218e-09
88.0,6.423717628205314e-10
92.0,2.7543481094754265e-10
96.0,1.0426246888758115e-10
100.0,2.937770929164702e-11
104.0,1.035125533688008e-11
108.0,4.237543299991179e-12
112.0,2.1248970445615442e-12
116.0,1.1533114075886517e-12
120.0,6.511658754030304e-13
124.0,3.483709086399679e-13
128.0,1.8562071974067796e-13
132.0,1.0007289916962901e-13
136.0,5.206337021624713e-14
140.0,2.5952937254828733e-14
144.0,1.2806316358427897e-14
148.0,5.974817940183959e-15
152.0,2.4526472006614688e-15
156.0,1.1664582910429644e-15
160.0,5.422251095500612e-16
164.0,2.6272561573995595e-16
168.0,1.2350340041721728e-16
