x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.04631851808989386
1.6,0.04415882344892004
3.2,0.03477064759493043
4.800000000000001,0.022013876794305595
6.4,0.012628504991532454
8.0,0.007991610006154344
9.600000000000001,0.006539086263516924
11.200000000000001,0.005607784036632552
12.8,0.005233415465206304
14.4,0.005209614150162248
16.0,0.005408015502915003
17.6,0.00567099327166755
19.200000000000003,0.005834626392541298
20.8,0.005739971028264228
22.400000000000002,0.005320999013355587
24.0,0.004711020724214374
25.6,0.004003317831447035
27.200000000000003,0.0033152652004390963
28.8,0.002813352008790305
30.400000000000002,0.0026032188835617034
32.0,0.002567055547587149
33.6,0.0025798899637658277
35.2,0.002565999251537398
36.800000000000004,0.0024892305070653375
38.400000000000006,0.0023331785540379045
40.0,0.002093929278537369
41.6,0.0017994416365226557
43.2,0.0015155161974664388
44.800000000000004,0.0012515778827382866
46.400000000000006,0.0009918736850239513
48.0,0.0007562436742338178
49.6,0.0005534387289707258
51.2,0.000397605643349863
52.800000000000004,0.000286492873214442
54.400000000000006,0.00021239506557111051
56.0,0.00016841792536197053
57.6,0.00014118357251187018
59.2,0.0001224884628309478
60.800000000000004,0.00010823609746621408
62.400000000000006,9.741442188941133e-05
64.0,8.908297024370387e-05
65.60000000000001,8.159737163609535e-05
67.2,7.54620222009217e-05
68.8,6.990991063753521e-05
70.4,6.549928919347959e-05
72.0,6.171329066506253e-05
73.60000000000001,5.826100031496842e-05
75.2,5.510442572319197e-05
76.80000000000001,5.188291344122603e-05
78.4,4.900902813103488e-05
80.0,4.609244298213981e-05
81.60000000000001,4.363514350863544e-05
83.2,4.133508863761732e-05
84.80000000000001,3.923058649850498e-05
86.4,3.7328523655547485e-05
88.0,3.5441177934722364e-05
89.60000000000001,3.3797565141886707e-05
91.2,3.222536448963161e-05
92.80000000000001,3.080377419585717e-05
94.4,2.947447847796509e-05
96.0,2.818065178300571e-05
97.60000000000001,2.6985750797221137e-05
99.2,2.5882279087096458e-05
100.80000000000001,2.4856027548662767e-05
102.4,2.394056637293275e-05
104.0,2.302206008833053e-05
105.60000000000001,2.221358974500166e-05
107.2,2.1426765219943784e-05
108.80000000000001,2.062652460428547e-05
110.4,1.9913533192618205e-05
112.0,1.9194154321742965e-05
113.60000000000001,1.8517833515845655e-05
115.2,1.7822041505083133e-05
116.80000000000001,1.7152102118908257e-05
118.4,1.6516590851677313e-05
120.0,1.6071551929696393e-05
121.60000000000001,1.540143288495672e-05
123.2,1.4866819712018669e-05
124.80000000000001,1.4416632108723492e-05
126.4,1.3935014890470485e-05
128.0,1.349832822195143e-05
129.6,1.302675104963371e-05
131.20000000000002,1.2480731805442673e-05
132.8,1.2084142472861194e-05
134.4,1.1569547448420066e-05
136.0,1.1209153815570954e-05
137.6,1.078309617271723e-05
139.20000000000002,1.0322258334548285e-05
140.8,9.997340147367256e-06
142.4,9.522861436202066e-06
144.0,9.218660155311759e-06
145.6,8.781096770139473e-06
147.20000000000002,8.396829039503862e-06
148.8,8.098192979846436e-06
150.4,7.625191266635866e-06
152.0,7.3392050027474635e-06
153.60000000000002,6.906309862345611e-06
155.20000000000002,6.658061459721496e-06
156.8,6.298942656299715e-06
158.4,6.022172913353329e-06
160.0,5.7390355885553465e-06
161.60000000000002,5.489431949269792e-06
163.20000000000002,5.251552755771875e-06
164.8,5.0681520710070705e-06
166.4,4.911502472814225e-06
168.0,4.871101877544732e-06
169.60000000000002,5.0864871380748185e-06
