x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.0004426505446894353
2.0,0.0003893301102563279
4.0,0.0002944180462084855
6.0,0.00022377365847092988
8.0,0.0001808845348478641
10.0,0.00015075583303657535
12.0,0.00012993285704942083
14.0,0.00011230324563277676
16.0,9.623056202301709e-05
18.0,8.322188746497576e-05
20.0,7.236730473476992e-05
22.0,6.310780109715014e-05
24.0,5.477404449099892e-05
26.0,4.717141369478917e-05
28.0,4.145425613921744e-05
30.0,3.748042374200055e-05
32.0,3.446575899772646e-05
34.0,3.183822276050002e-05
36.0,2.911251188046096e-05
38.0,2.6284231991442683e-05
40.0,2.3379160503098016e-05
42.0,2.0175275092335192e-05
44.0,1.7140849497442187e-05
46.0,1.431398362358735e-05
48.0,1.1638547601850864e-05
50.0,9.136771792346111e-06
52.0,6.961122612601841e-06
54.0,5.303071340213215e-06
56.0,4.023404648350238e-06
58.0,2.9625912774521198e-06
60.0,2.1259691278515764e-06
62.0,1.4739692736745565e-06
64.0,1.000163677457334e-06
66.0,6.630501589833593e-07
68.0,4.2378993163364674e-07
70.0,2.654385172348425e-07
72.0,1.625331864957971e-07
74.0,9.632993218563931e-08
76.0,5.436973645808612e-08
78.0,2.978814034652717e-08
80.0,1.6313107709077217e-08
82.0,8.56371373952545e-09
84.0,4.291278844248258e-09
86.0,2.0760171955983374e-09
88.0,9.769589598988784e-10
90.0,4.6020111978080194e-10
92.0,2.1141164108721824e-10
94.0,9.282297955853818e-11
96.0,4.0110483561891556e-11
98.0,1.68266786386736e-11
100.0,7.385855956447298e-12
102.0,3.6014383632158056e-12
104.0,1.887661307068209e-12
106.0,1.0328500769412481e-12
108.0,5.478401462496496e-13
110.0,2.8495705410337866e-13
112.0,1.4420050709985116e-13
114.0,7.216811951854401e-14
116.0,3.506731840381667e-14
118.0,1.636920985384266e-14
120.0,7.581655955882953e-15
122.0,3.1081953294361253e-15
124.0,1.275958034505452e-15
126.0,5.074744017680329e-16
128.0,1.937524000171666e-16
130.0,7.25557266904729e-17
132.0,2.403516895683031e-17
134.0,8.04867022354792e-18
136.0,2.4671169479701986e-18
138.0,7.081560134777916e-19
140.0,2.1379286897601593e-19
142.0,4.3073779431153846e-20
144.0,1.0000532020235183e-20
146.0,1.3417718089015173e-21
148.0,1.090855559533722e-22
150.0,2.5645909884777405e-24
152.0,6.703779889340869e-28
154.0,-4.228406521096552e-30
156.0,2.8676306074318435e-33
158.0,-2.548149277627183e-35
160.0,8.624183797153923e-39
162.0,-1.1919443611600643e-40
164.0,-9.86774872288185e-44
166.0,-2.0347068668838276e-46
168.0,3.2733337531364605e-53
