x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,4.702121325931955e-05
4.0,3.775355829004743e-05
8.0,2.4041422604224783e-05
12.0,1.6480238729790766e-05
16.0,1.3196575704842107e-05
20.0,1.1040884592570065e-05
24.0,9.255537117610538e-06
28.0,7.598515295970042e-06
32.0,6.097243895499236e-06
36.0,4.888395653322891e-06
40.0,3.861106784333551e-06
44.0,2.9788803199884034e-06
48.0,2.205091735129619e-06
52.0,1.538183275944895e-06
56.0,1.0712911318594559e-06
60.0,7.654091236454556e-07
64.0,5.468517007267583e-07
68.0,3.8335570134297305e-07
72.0,2.585117631692234e-07
76.0,1.7251083381307964e-07
80.0,1.141269517626187e-07
84.0,7.131929793569685e-08
88.0,4.393440267389087e-08
92.0,2.6666869356083844e-08
96.0,1.5600594666962992e-08
100.0,8.609758376643946e-09
104.0,4.49605778900198e-09
108.0,2.347923207103004e-09
112.0,1.2164973678812364e-09
116.0,5.943492080069217e-10
120.0,2.942555474305503e-10
124.0,1.2349511484095697e-10
128.0,5.281903350500917e-11
132.0,2.258196790106457e-11
136.0,9.212304215915469e-12
140.0,3.558417935764676e-12
144.0,1.3798954404143207e-12
148.0,4.88947126937892e-13
152.0,1.508581242554483e-13
156.0,5.509138062262614e-14
160.0,1.9471563641665428e-14
164.0,7.303622650748872e-15
168.0,2.425456499534597e-15
