x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.0039750998454227355
3.2,0.0039785773559556075
6.4,0.0036682279737866234
9.600000000000001,0.0031234284358055532
12.8,0.002713468088754905
16.0,0.0024405542132873996
19.200000000000003,0.0021561565729291358
22.400000000000002,0.0017688865600378539
25.6,0.0013123275820015184
28.8,0.0008723808286259279
32.0,0.0005068609252465396
35.2,0.00027487067122062214
38.400000000000006,0.00016137181522672095
41.6,0.00010330494467724076
44.800000000000004,7.002018213421443e-05
48.0,5.067186253807796e-05
51.2,3.9493782025492184e-05
54.400000000000006,3.2153382587288885e-05
57.6,2.684181884276774e-05
60.800000000000004,2.2414443834418493e-05
64.0,1.9087536475654636e-05
67.2,1.6211305763844397e-05
70.4,1.4225745949040969e-05
73.60000000000001,1.2692059444144978e-05
76.80000000000001,1.1323676690081998e-05
80.0,1.0259170391665126e-05
83.2,9.210504014692187e-06
86.4,8.4763178519234e-06
89.60000000000001,7.817718777648093e-06
92.80000000000001,7.09877218714298e-06
96.0,6.585189950117505e-06
99.2,6.02117623743263e-06
102.4,5.612823396002226e-06
105.60000000000001,5.1068989456992715e-06
108.80000000000001,4.680496931709936e-06
112.0,4.3499010199607235e-06
115.2,3.975249459155315e-06
118.4,3.7185879612474947e-06
121.60000000000001,3.4591563072298427e-06
124.80000000000001,3.078653277763535e-06
128.0,2.9126815880060468e-06
131.20000000000002,2.7258766926037233e-06
134.4,2.6403467986366555e-06
137.6,2.4426340466026556e-06
140.8,2.330119825318675e-06
144.0,2.159943580106566e-06
147.20000000000002,2.0268902201784924e-06
150.4,1.933874942771536e-06
153.60000000000002,1.7519973866343796e-06
156.8,1.69926410535506e-06
160.0,1.6005439101610966e-06
163.20000000000002,1.5719939612563852e-06
166.4,1.572658696017445e-06
169.60000000000002,1.7108988465598621e-06
