x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.00042421227108989954
2.0,0.00037079121614970955
4.0,0.00027574615412521725
6.0,0.00020507542492599363
8.0,0.00016227270055671567
10.0,0.00013240543936103254
12.0,0.00011198676952593942
14.0,9.493135677139143e-05
16.0,7.965344570235896e-05
18.0,6.771862763920671e-05
20.0,5.857094590017508e-05
22.0,5.190279529005616e-05
24.0,4.714445024834751e-05
26.0,4.373837320434571e-05
28.0,4.163801757308699e-05
30.0,4.0342734465511414e-05
32.0,3.929980615593729e-05
34.0,3.798397650950926e-05
36.0,3.581456390751538e-05
38.0,3.2686206758425354e-05
40.0,2.8824048556939072e-05
42.0,2.416587564424549e-05
44.0,1.9719174329070865e-05
46.0,1.5816407269348473e-05
48.0,1.2458084873890754e-05
50.0,9.573727943994012e-06
52.0,7.1609101783664135e-06
54.0,5.32399625385466e-06
56.0,3.902521985003306e-06
58.0,2.7441838941878234e-06
60.0,1.8657993738564026e-06
62.0,1.2183034193345685e-06
64.0,7.763739553754742e-07
66.0,4.823838980179176e-07
68.0,2.8793521974748767e-07
70.0,1.681304530078799e-07
72.0,9.59318478705869e-08
74.0,5.285043022302462e-08
76.0,2.7636655094821183e-08
78.0,1.4010928769407475e-08
80.0,7.1214855601322724e-09
82.0,3.4706908205228494e-09
84.0,1.6121816058826963e-09
86.0,7.254228503718375e-10
88.0,3.1786807633566964e-10
90.0,1.4151233598536287e-10
92.0,6.379967900389256e-11
94.0,2.926933753669278e-11
96.0,1.540110834829155e-11
98.0,8.587226930298301e-12
100.0,4.99486592553855e-12
102.0,2.8961520935165866e-12
104.0,1.690134548315697e-12
106.0,9.635719629129639e-13
108.0,5.323972740468105e-13
110.0,2.8086149566106255e-13
112.0,1.433938526675343e-13
114.0,7.201031252454558e-14
116.0,3.5037682452325916e-14
118.0,1.6371522049950778e-14
120.0,7.585589110379439e-15
122.0,3.112069237859356e-15
124.0,1.2782121426918793e-15
126.0,5.085714206802569e-16
128.0,1.942133751943515e-16
130.0,7.273884175327945e-17
132.0,2.410370625184883e-17
134.0,8.072286152737237e-18
136.0,2.4749245012380442e-18
138.0,7.107783849266713e-19
140.0,2.1458637397741696e-19
142.0,4.326213734327856e-20
144.0,1.005581903996996e-20
146.0,1.3510417170372137e-21
148.0,1.10650008490691e-22
150.0,2.613298273338709e-24
152.0,4.246770809919072e-28
154.0,-4.367454591865727e-30
156.0,2.065063109965527e-33
158.0,-2.490937075668609e-35
160.0,8.487048740345485e-39
162.0,-1.1915670358950953e-40
164.0,-9.670283273071637e-44
166.0,-2.0180900280617897e-46
168.0,5.7301987726657185e-53
