x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.0023151086699796535
3.2,0.002298627764383741
6.4,0.0019186250581000623
9.600000000000001,0.001260401337798992
12.8,0.0007440599662733938
16.0,0.0004951261109239274
19.200000000000003,0.00043352455040799475
22.400000000000002,0.0004050267631494015
25.6,0.000397574912034248
28.8,0.00040910293526713544
32.0,0.00043752348563903966
35.2,0.00047203406050430597
38.400000000000006,0.000490199540821512
41.6,0.00047064221628007654
44.800000000000004,0.00041243261772402337
48.0,0.0003343048274989516
51.2,0.00024481346145964467
54.400000000000006,0.00015581533190057995
57.6,8.667851743403138e-05
60.800000000000004,5.013137282275491e-05
64.0,3.3043922784952883e-05
67.2,2.3063374721177308e-05
70.4,1.716699975895589e-05
73.60000000000001,1.365204540372204e-05
76.80000000000001,1.1399080009628258e-05
80.0,9.797209960760507e-06
83.2,8.382004752248603e-06
86.4,7.3188621482680485e-06
89.60000000000001,6.483664035732531e-06
92.80000000000001,5.710178844535109e-06
96.0,5.152250165048222e-06
99.2,4.6260507657825836e-06
102.4,4.247192293776823e-06
105.60000000000001,3.842854251667216e-06
108.80000000000001,3.5049933077862226e-06
112.0,3.238381583614352e-06
115.2,2.9745490203142086e-06
118.4,2.8090633389141706e-06
121.60000000000001,2.599763712593459e-06
124.80000000000001,2.3404905237431375e-06
128.0,2.1719589829057283e-06
131.20000000000002,2.0155664594199422e-06
134.4,1.9058668419464517e-06
137.6,1.7667161475016686e-06
140.8,1.6649904212048886e-06
144.0,1.5735333076213637e-06
147.20000000000002,1.500565372633368e-06
150.4,1.4464319440724133e-06
153.60000000000002,1.3695973207567132e-06
156.8,1.3273278753038582e-06
160.0,1.2808932659186378e-06
163.20000000000002,1.2643880104295734e-06
166.4,1.2563471720557125e-06
169.60000000000002,1.3260592194893552e-06
