x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.0004141568221548247
2.0,0.0003606793093610465
4.0,0.0002654838381017434
6.0,0.0001946055050718409
8.0,0.000151536836212374
10.0,0.00012126832981483394
12.0,0.00010040628159348246
14.0,8.285041912270983e-05
16.0,6.701284681999018e-05
18.0,5.4547354061946826e-05
20.0,4.492956513122543e-05
22.0,3.790215078396951e-05
24.0,3.29424150060765e-05
26.0,2.9544284783213213e-05
28.0,2.7689350712687795e-05
30.0,2.6862266503378815e-05
32.0,2.659954487070176e-05
34.0,2.6656605064142646e-05
36.0,2.6844270766699666e-05
38.0,2.7010561813798873e-05
40.0,2.7025148515140127e-05
42.0,2.6610287129604202e-05
44.0,2.54392363746767e-05
46.0,2.3309245773789575e-05
48.0,2.0255645222790793e-05
50.0,1.6647279153168065e-05
52.0,1.3164154568412683e-05
54.0,1.0416079864799317e-05
56.0,8.248420103385877e-06
58.0,6.374734862791363e-06
60.0,4.8038614526299064e-06
62.0,3.4925024747141495e-06
64.0,2.475537702944058e-06
66.0,1.708021115366601e-06
68.0,1.1333076296683228e-06
70.0,7.344653741389396e-07
72.0,4.6376380953175184e-07
74.0,2.8278181253451607e-07
76.0,1.6388282370499384e-07
78.0,9.195145077807891e-08
80.0,5.138681809718266e-08
82.0,2.745891407005154e-08
84.0,1.3974441486938191e-08
86.0,6.8407668990797235e-09
88.0,3.2454944600165272e-09
90.0,1.5305747897087752e-09
92.0,6.953912041554201e-10
94.0,2.958656344062654e-10
96.0,1.1808527660770167e-10
98.0,4.25597369253817e-11
100.0,1.485330333960348e-11
102.0,5.794615130831954e-12
104.0,2.498641809774355e-12
106.0,1.2468243058232911e-12
108.0,5.949952472908385e-13
110.0,2.97567785830861e-13
112.0,1.4666867628934583e-13
114.0,7.267161394944794e-14
116.0,3.518646696839074e-14
118.0,1.6379720141608596e-14
120.0,7.585312802504779e-15
122.0,3.111049814511297e-15
124.0,1.277667350574395e-15
126.0,5.083068835323048e-16
128.0,1.9410618541875272e-16
130.0,7.269934549324174e-17
132.0,2.4089432940646726e-17
134.0,8.067373953114984e-18
136.0,2.4734496555171046e-18
138.0,7.10367536317868e-19
140.0,2.1452995572503158e-19
142.0,4.3237235141042806e-20
144.0,1.0055746126979714e-20
146.0,1.34967240412247e-21
148.0,1.1082752388565315e-22
150.0,2.5750921513744554e-24
152.0,4.398320652051381e-28
154.0,-4.433999255951892e-30
156.0,2.1175627408428365e-33
158.0,-2.4930132633419157e-35
160.0,8.660675268504711e-39
162.0,-1.197922389322894e-40
164.0,-9.632111755532605e-44
166.0,-2.0446368748040296e-46
168.0,9.601991416950052e-53
