Filter_Name,Wavelength_micron,Obs_SED_Flux_Jy,Obs_SED_Flux_Unc_Jy
2MASS_J,1.24,591,151
2MASS_H,1.66,1190,370
2MASS_Ks,2.16,1270,490
COBE_DIRBE_1.25,1.25,614.5,35.8
COBE_DIRBE_2.2,2.22,1037.5,34.2
COBE_DIRBE_3.5,3.52,725.1,24.5
COBE_DIRBE_4.9,4.89,237.4,9.5
AKARI_S9W,8.61,263.5,14.6
AKARI_L18W,18.4,61.479999,2.32
AKARI_FIS_N60,65,25.8,5.3
AKARI_FIS_WIDES,90,20.1,4.2
AKARI_FIS_WIDEL,140,8.4,3.1
IRAS_12,11.6,167.5,6.7
IRAS_25,23.9,44.81,1.7924
IRAS_60,61.8,27.11,2.711
IRAS_100,102,21.14,2.3254
HERSCHEL_PACS_BLUE,70,23.05932483,0.02590508156
HERSCHEL_PACS_RED,160,5.960888792,0.02249157872
HERSCHEL_SPIRE_PSW,250,1.81452392729092,0.257841674995163
HERSCHEL_SPIRE_PMW,350,0.71577697554508,0.172311137060285
HERSCHEL_SPIRE_PLW,500,0.242797176097763,0.103757869592309
JCMT_SCUBA2_450,450,0.4351961467,0.06990648993
JCMT_SCUBA2_850,850,0.199163095,0.03396786975
