x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,0.801246223716,0.195184109089,0.801246223716,0,0.276032014233,0,nan
2,0.794298413324,0.116105709347,0.677778518036,0.116519895288,0.201843886284,0.171914411843,0.300732296819
4,0.448231927512,0.0972016844998,0.414774728905,0.033457198607,0.140203877897,0.0806635416177,0.33859480328
6,0.321174297224,0.0919104130315,0.193145892265,0.128028404959,0.103253428304,0.662858544168,0.558442049515
8,0.153557880298,0.08774900509,0.0800550846992,0.0735027955989,0.0898899064656,0.91815274289,1.14490987397
10,0.0106990397186,0.0771841173649,0.0397120380705,-0.0290129983519,0.0777879933046,-0.73058447165,-1.96686967244
12,0.050340277011,0.0795889809134,0.0266346642792,0.0237056127318,0.0798530081149,0.890028591438,3.00591509652
14,-0.00965928885641,0.0739296283075,0.0202759453297,-0.0299352341862,0.0740944395412,-1.47639154177,-3.67195799429
16,0.0582167881998,0.071202587948,0.0154508825343,0.0427659056655,0.0713019989978,2.76786167849,4.66374932535
18,0.0177611478446,0.0713946154818,0.0114213518147,0.00633979602996,0.0714488070468,0.555082807432,6.25718367347
20,0.0150872023702,0.0681709551069,0.0081523201432,0.00693488222704,0.0681998750804,0.850663627682,8.3682673836
22,0.0395761754306,0.0693679829249,0.00561625422414,0.0339599212064,0.0693814731485,6.04672079488,12.4411970386
24,0.0113728577084,0.0656240487258,0.00373422318222,0.00763863452623,0.0656303531233,2.0455752518,17.5824323658
26,0.0107197159178,0.0634864954318,0.00239629936601,0.00832341655175,0.0634891790365,3.47344604343,26.5081851747
28,0.038784675811,0.0642933769326,0.00148412041746,0.0373005553935,0.0642943934048,25.1331057471,43.7520374122
30,0.0282648236569,0.0628703716721,0.000887124290819,0.027377699366,0.0628707430778,30.861176556,71.2678983882
32,0.0370644650312,0.062963181421,0.000511784426783,0.0365526806044,0.0629633048491,71.4220259381,124.251156655
34,0.07053703386,0.06016585801,0.000284955422798,0.0702520784372,0.0601658980534,246.537082002,219.516518804
36,0.0427738446934,0.0597609253683,0.000153127802476,0.0426207168909,0.05976093701,278.334281572,396.114331555
38,0.0756043194666,0.0598391132024,7.94179071429E-05,0.0755249015594,0.0598391163297,950.980758326,788.27989435
40,0.0851782763447,0.0594226932478,3.97530166394E-05,0.085138523328,0.0594226940369,2141.6871102,1583.22656924
42,0.0640244740789,0.0574619880451,1.92047654317E-05,0.0640052693135,0.0574619882356,3332.78058205,3100.25924036
44,0.0352827299036,0.0585381278653,8.95437313551E-06,0.0352737755304,0.058538127906,3939.27916523,6607.4331709
46,0.0536018548244,0.0582864135688,4.02947655103E-06,0.0535978253479,0.0582864135771,13301.4362211,14823.4822048
48,0.00792989895813,0.0572719025135,1.75004550734E-06,0.00792814891262,0.0572719025151,4530.25300164,32744.5522762
50,0.00423084842642,0.0560332247895,7.33562826888E-07,0.00423011486359,0.0560332247898,5766.53383806,76397.9540327
52,0.00189458053203,0.0555183300279,2.9676491356E-07,0.00189428376712,0.0555183300279,6383.11229044,187084.94555
54,0.0221748566646,0.0567102829568,1.15871080023E-07,0.0221747407935,0.0567102829568,191374.247907,491640.950698
56,0.00154681512513,0.0565207504908,4.36641309817E-08,0.001546771461,0.0565207504908,35424.3042567,1294472.26254
58,0.0301229514496,0.0548079269519,1.58804151409E-08,0.0301229355692,0.0548079269519,1896860.71188,3482085.76565
60,0.0106108094693,0.0552657224759,5.57424619383E-09,0.0106108038951,0.0552657224759,1903540.59116,9925312.50753
62,-0.0272604876156,0.054101233543,1.88841614491E-09,-0.027260489504,0.054101233543,-14435636.7517,-28864011.689
64,0.00154061161754,0.0547866191538,6.17442511479E-10,0.0015406110001,0.0547866191538,2495148.89477,88733612.4749
66,-0.0292511101835,0.0544796835108,1.94842016207E-10,-0.0292511103783,0.0544796835108,-150127323.397,-281991015.228
68,-0.0412491269251,0.0533747281498,5.93411510848E-11,-0.0412491269844,0.0533747281498,-695118416.653,-915255915.794
70,-0.0279104548914,0.054845641016,1.74428152975E-11,-0.0279104549089,0.054845641016,-1600111818.7,-3168379457.15
72,-0.046130640225,0.053520138314,4.94839616829E-12,-0.04613064023,0.053520138314,-9322341757.03,-11051492083.4
74,-0.0373996584337,0.0539690776829,1.35487617534E-12,-0.037399658435,0.0539690776829,-27603746464.6,-40396798412.1
76,-0.00286947449818,0.052578454925,3.58032140015E-13,-0.00286947449854,0.052578454925,-8014572374.47,-146866985727
78,-0.0496804477933,0.0533015973039,9.13128056343E-14,-0.0496804477934,0.0533015973039,-544068791318,-598582425631
80,-0.0262598584844,0.054185209376,2.24764968468E-14,-0.0262598584844,0.054185209376,-1168325236060,-2427491358620
82,-0.0283534957746,0.0525117822878,5.33965041277E-15,-0.0283534957746,0.0525117822878,-5309991026150,-9919014973740
84,-0.0364054794247,0.0531744777082,1.22428996532E-15,-0.0364054794247,0.0531744777082,-29735994295500,-44032818491000
86,-0.0192921651227,0.0522944993813,2.70921217934E-16,-0.0192921651227,0.0522944993813,-71209502414700,-193802631781000
88,0.00248232639398,0.0531206314589,5.78614100535E-17,0.00248232639398,0.0531206314589,42901242670800,918126140813000
90,-0.00419924198332,0.0535584977829,1.19267542534E-17,-0.00419924198332,0.0535584977829,-352085898150000,-4491437027590000
92,-0.0284998404607,0.0527311395787,2.37269979621E-18,-0.0284998404607,0.0527311395787,-1.20115661097E+016,-2.24159019111E+016
94,-0.00284796777176,0.0532553593305,4.55565239618E-19,-0.00284796777176,0.0532553593305,-6251503679590000,-1.169094422E+017
96,-0.00641085301322,0.0526308113664,8.44200548183E-20,-0.00641085301322,0.0526308113664,-7.59399295229E+016,-6.23714068655E+017
98,-0.0132914312173,0.0533746492163,1.50982963196E-20,-0.0132914312173,0.0533746492163,-8.8032655711E+017,-3.54164226939E+018
100,0.0139320710927,0.0523923774481,2.60613868935E-21,0.0139320710927,0.0523923774481,5.34586710589E+018,2.01455839621E+019
102,-0.00867675622019,0.0531940813394,4.34164556837E-22,-0.00867675622019,0.0531940813394,-1.99849482956E+019,-1.22617235986E+020
104,0.00759397397752,0.0541318998288,6.9806919616E-23,0.00759397397752,0.0541318998288,1.08785404359E+020,7.75904451653E+020
106,0.000620557964967,0.0530799609046,1.08325286388E-23,0.000620557964967,0.0530799609046,5.72865289039E+019,4.90007254382E+021
108,0.012686395476,0.0542831169284,1.62236467588E-24,0.012686395476,0.0542831169284,7.81969409506E+021,3.35134371389E+022
110,0.0150878789576,0.0526891518188,2.34506228375E-25,0.0150878789576,0.0526891518188,6.43389263566E+022,2.25227231555E+023
112,0.0277661012498,0.0542048817726,3.27150468206E-26,0.0277661012498,0.0542048817726,8.48725707225E+023,1.66972884721E+024
114,0.0155754804521,0.054043468329,4.40481806041E-27,0.0155754804521,0.054043468329,3.53600994149E+024,1.22993713556E+025
116,0.0257945057138,0.0541908433483,5.72394783912E-28,0.0257945057138,0.0541908433483,4.50641872337E+025,9.5308212833E+025
118,0.0116179459005,0.0544249704685,7.17877967396E-29,0.0116179459005,0.0544249704685,1.61837337655E+026,7.59161138093E+026
120,0.00339043711397,0.053821663098,8.68946114659E-30,0.00339043711397,0.053821663098,3.90178062457E+026,6.19463034362E+027
122,0.0249984882645,0.0544873804191,1.01513156259E-30,0.0249984882645,0.0544873804191,2.46258605149E+028,5.40093753981E+028
124,0.000581214506395,0.054617987944,1.14456136154E-31,0.000581214506395,0.054617987944,5.0780545799E+027,4.7719740759E+029
126,0.0142922239989,0.0546628023507,1.24549817252E-32,0.0142922239989,0.0546628023507,1.14751063584E+030,4.3977234654E+030
128,0.00748449450903,0.0554885801099,1.30808020245E-33,0.00748449450903,0.0554885801099,5.72173976414E+030,4.24427534894E+031
130,0.000913561160624,0.0542870282803,1.32590654703E-34,0.000913561160624,0.0542870282803,6.89008710812E+030,4.0943673254E+032
132,0.00790244684099,0.0557764200056,1.29711571683E-35,0.00790244684099,0.0557764200056,6.09232217176E+032,4.30259454737E+033
134,0.00111914565371,0.0552544795219,1.22470585013E-36,0.00111914565371,0.0552544795219,9.13807714393E+032,4.51170802154E+034
136,-0.000188079079408,0.0547877759073,1.11602038486E-37,-0.000188079079408,0.0547877759073,-1.6852656274E+033,-4.90921096132E+035
138,0.0154127495606,0.0562927891625,9.81521295242E-39,0.0154127495606,0.0562927891625,1.57029191677E+036,5.74800151232E+036
140,-0.0229645430227,0.0555034568004,8.33133485311E-40,-0.0229645430227,0.0555034568004,-2.75640619751E+037,-6.69576523272E+037
142,0.00403807957325,0.0566368082873,6.8252209888E-41,0.00403807957325,0.0566368082873,5.9164085381E+037,8.29941625286E+038
144,-0.0146345103793,0.0553024776091,5.39642455192E-42,-0.0146345103793,0.0553024776091,-2.7118901114E+039,-1.02692556709E+040
146,-0.00697397771966,0.0561758907262,4.11796608597E-43,-0.00697397771966,0.0561758907262,-1.69354909051E+040,-1.36478961075E+041
148,-0.000409929491761,0.0565114661063,3.0328203529E-44,-0.000409929491761,0.0565114661063,-1.35164448949E+040,-1.86333339133E+042
150,0.00339975067857,0.0564531438491,2.15574739745E-45,0.00339975067857,0.0564531438491,1.57706356626E+042,2.61900899903E+043
152,-0.0189291505566,0.0567353074768,1.47889152182E-46,-0.0189291505566,0.0567353074768,-1.27995530959E+044,-3.84898984224E+044
154,-0.00227707323077,0.0564498595894,9.79178867929E-48,-0.00227707323077,0.0564498595894,-2.32549261973E+044,-5.76529852676E+045
156,-0.0126463989483,0.0575743972433,6.25712756963E-49,-0.0126463989483,0.0575743972433,-2.02111892518E+046,-9.21457289158E+046
158,-0.0140569673359,0.0571233837899,3.85900419646E-50,-0.0140569673359,0.0571233837899,-3.64264111162E+047,-1.48291953115E+048
