x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0.0,0.115314700669,0.00112262941575,0.115314700669,0.0,0.00158763774527,0.0,nan
1.6,0.0805933288979,0.00117441628399,0.0855912086301,-0.0049978797322,0.00143999201635,-0.0583924425439,-0.0168336658622
3.2,0.0312707154485,0.000710323771549,0.041826587016,-0.0105558715675,0.000818760619458,-0.252372290462,-0.0197287099101
4.8,0.0114235332973,0.000258619500168,0.0154676940477,-0.00404416075046,0.000299264813794,-0.261458543076,-0.019514450745
6.4,0.0071127216853,0.000116976944224,0.00694163537218,0.000171086313119,0.000135094648736,0.0246463987153,0.0194629807862
8.0,0.00505368628879,9.04283083332e-05,0.00409951236066,0.000954173928138,9.88438328309e-05,0.23275303114,0.0242173603285
9.6,0.00331614911065,8.26945888176e-05,0.00218619022582,0.00112995888483,8.53895508088e-05,0.516862106273,0.0393813961398
11.2,0.00245131926938,7.02154063973e-05,0.00111748817055,0.00133383109883,7.10532127559e-05,1.19359751089,0.0646360595852
12.8,0.00220761843786,6.47420144723e-05,0.000699684395265,0.0015079340426,6.50993652552e-05,2.15516317472,0.0953774053803
14.4,0.00216019099467,6.31292943644e-05,0.000580057957458,0.00158013303721,6.33813631959e-05,2.72409509583,0.112439554631
16.0,0.00209365032851,6.02870306171e-05,0.000504190573962,0.00158945975455,6.0486520599e-05,3.15249795738,0.123831083062
17.6,0.00203846028748,6.12199136888e-05,0.000375622630405,0.00166283765707,6.13290319416e-05,4.42688358601,0.168865172128
19.2,0.00197526931344,5.74139331778e-05,0.00025824447702,0.00171702483642,5.74689518664e-05,6.64883468654,0.231759637796
20.8,0.00195271070134,5.40914104052e-05,0.00017515943443,0.00177755126691,5.41182826772e-05,10.1481902627,0.324377229667
22.4,0.00197231565777,5.53032306595e-05,0.000140023374076,0.0018322922837,5.53200286801e-05,13.085617282,0.415108324745
24.0,0.00201095884642,5.38663264893e-05,0.000119792672599,0.00189116617382,5.38789495814e-05,15.7869937517,0.475302816168
25.6,0.00207169958758,5.5155943739e-05,0.000101811459593,0.00196988812799,5.5164848852e-05,19.3483929596,0.573641193194
27.2,0.0021216110457,5.22170016492e-05,8.94846539683e-05,0.00203212639173,5.22242682025e-05,22.7092166267,0.624083074754
28.8,0.00222131173793,5.264012336e-05,7.62643871942e-05,0.00214504735074,5.26453591059e-05,28.1264615066,0.742625755743
30.4,0.00230717035591,5.18886608061e-05,6.72583992553e-05,0.00223991195665,5.18927920115e-05,33.3030815698,0.836896933533
32.0,0.00243073491246,5.20916735266e-05,6.09811919349e-05,0.00236975372052,5.20950563778e-05,38.8604034348,0.934302626774
33.6,0.00262244466441,4.96941020508e-05,5.55604865909e-05,0.00256688417782,4.96970457122e-05,46.1998145682,1.00118251388
35.2,0.00282599144145,4.91220793196e-05,5.1708564444e-05,0.002774282877,4.91246586697e-05,53.6522896513,1.08414866568
36.8,0.00306471253333,5.03719565958e-05,4.75462146856e-05,0.00301716631864,5.03740833015e-05,63.4575504821,1.22643551715
38.4,0.00333934151908,4.90883894597e-05,4.36170193508e-05,0.00329572449973,4.90902259919e-05,75.5605162568,1.34455653548
40.0,0.0036206690875,4.74151075618e-05,4.0887931143e-05,0.00357978115636,4.74167784192e-05,87.5510463917,1.43921300903
41.6,0.00357947070374,4.7424533948e-05,3.76632163596e-05,0.00354180748738,4.74259513686e-05,94.0389013397,1.55684206792
43.2,0.00315746477201,4.92227723473e-05,3.45048657565e-05,0.00312295990625,4.92239185542e-05,90.507812095,1.67675581537
44.8,0.00251905544664,4.83212577428e-05,3.19476731684e-05,0.00248710777348,4.83222586855e-05,77.84941834,1.6918004695
46.4,0.00193521932587,4.66070849632e-05,2.98015097598e-05,0.00190541781611,4.66079879759e-05,63.9369559283,1.68326275128
48.0,0.00150700261712,4.59625062239e-05,2.77844916266e-05,0.00147921812549,4.59633021467e-05,53.238984732,1.7335727276
49.6,0.00119771619222,4.52172911869e-05,2.59238411134e-05,0.00117179235111,4.52179954976e-05,45.2013398009,1.7989158246
51.2,0.000943832494785,4.58662966522e-05,2.48337317049e-05,0.00091899876308,4.58669338302e-05,37.0060679563,1.88176973879
52.8,0.000725660749716,4.51139337881e-05,2.33636380614e-05,0.000702297111654,4.5114507166e-05,30.0594072639,1.95301984215
54.4,0.000583973797373,4.43843842927e-05,2.20349868157e-05,0.000561938810557,4.43849026943e-05,25.5021169405,2.02953497947
56.0,0.000493062244565,4.53502153638e-05,2.09127029285e-05,0.000472149541636,4.53506723597e-05,22.5771648576,2.17968092925
57.6,0.000423109850907,4.41051832712e-05,1.96550815542e-05,0.000403454769352,4.41055983509e-05,20.5267410486,2.25285988561
59.2,0.000366040123366,4.42800798506e-05,1.86580664432e-05,0.000347382056923,4.42804524108e-05,18.6183310034,2.38017210158
60.8,0.00033148351085,4.31979226312e-05,1.7509765624e-05,0.000313973745226,4.31982589643e-05,17.9313505371,2.4732635919
62.4,0.000295339567692,4.30589489585e-05,1.63924078384e-05,0.000278947159854,4.30592446876e-05,17.0168508863,2.63199860947
64.0,0.000277399251511,4.34292081758e-05,1.54690156853e-05,0.000261930235826,4.3429469281e-05,16.9325729029,2.8123487331
65.6,0.000260246211229,4.21027985893e-05,1.45066685503e-05,0.000245739542678,4.2103035452e-05,16.9397640696,2.90700441804
67.2,0.000237296404643,4.26687096128e-05,1.36509706133e-05,0.00022364543403,4.26689165745e-05,16.3831159238,3.12977233643
68.8,0.000217485506791,4.19255189452e-05,1.30918212021e-05,0.000204393685589,4.1925712674e-05,15.6123187472,3.20604029659
70.4,0.00020478041663,4.25808772576e-05,1.24064433986e-05,0.000192373973231,4.25810485557e-05,15.5059727474,3.43549019662
72.0,0.000187109522914,4.27200760136e-05,1.19385686408e-05,0.000175170954273,4.27202341185e-05,14.6726931464,3.5811879847
73.6,0.000171847390409,4.16444387764e-05,1.13779988105e-05,0.000160469391599,4.16445860916e-05,14.1034811368,3.66267202387
75.2,0.000156711909285,4.13910044658e-05,1.05788162335e-05,0.000146133093051,4.13911325929e-05,13.813747193,3.91495358153
76.8,0.000150641624168,4.0222249011e-05,9.85630206835e-06,0.0001407853221,4.02223634659e-05,14.2837872788,4.08324625484
78.4,0.000145765569905,4.10444634816e-05,9.17627201683e-06,0.000136589297888,4.10445607006e-05,14.8850532806,4.4752482544
80.0,0.000142618586992,3.97752562795e-05,8.44147810466e-06,0.000134177108888,3.97753411774e-05,15.894978015,4.71443322688
81.6,0.000138176771549,3.99335232209e-05,7.92397765751e-06,0.000130252793891,3.99335977321e-05,16.4378042848,5.04213002819
83.2,0.000125936906235,4.14583376852e-05,7.55076057319e-06,0.000118386145662,4.14584028545e-05,15.6787047496,5.49274730205
84.8,0.000113864727058,4.00232285545e-05,7.16152722526e-06,0.000106703199833,4.00232892801e-05,14.8995034825,5.59053488859
86.4,0.000107264291212,4.04472198497e-05,6.77086745044e-06,0.000100493423762,4.0447273562e-05,14.8420308767,5.97546830816
88.0,0.00010425748273,3.89917517654e-05,6.49941348755e-06,9.77580692427e-05,3.89918031046e-05,15.0410601557,6.00106703175
89.6,0.000111471204859,3.99147216041e-05,6.21406681716e-06,0.000105257138042,3.99147674491e-05,16.9385269163,6.42540867485
91.2,0.00011600982426,3.91622790954e-05,5.92346335264e-06,0.000110086360908,3.91623215531e-05,18.5847964871,6.6138644133
92.8,0.000106423898838,3.94180707803e-05,5.69127533508e-06,0.000100732623503,3.94181097204e-05,17.6994816754,6.92820226336
94.4,0.000100930355678,3.92101009379e-05,5.47524101961e-06,9.54551146584e-05,3.92101371691e-05,17.4339566636,7.16336462057
96.0,9.57926490414e-05,3.83813099751e-05,5.25995629421e-06,9.05326927472e-05,3.83813441351e-05,17.2116815584,7.29881776075
97.6,9.11514775667e-05,3.8972085897e-05,5.11260318571e-06,8.6038874381e-05,3.89721176806e-05,16.8287800277,7.62451467517
99.2,8.64683514924e-05,3.87877867288e-05,4.96133724455e-06,8.15070142478e-05,3.87878168017e-05,16.4284365747,7.81965234933
100.8,8.24634059345e-05,3.84124880551e-05,4.85075391722e-06,7.76126520173e-05,3.84125170832e-05,16.0001214949,7.92040749476
102.4,7.37828850734e-05,3.89431491397e-05,4.83513185989e-06,6.89477532135e-05,3.89431775882e-05,14.2597462099,8.0554084164
